item_name,unit,quantity
Chicken Breast,kg,61
Chicken Thighs,kg,93
Mutton,kg,128
Fish Fillet,kg,93
Prawns,kg,121
Eggs,pieces,76
Paneer,kg,101
Tofu,kg,147
Onions,kg,67
Tomatoes,kg,141
Potatoes,kg,100
Green Peas,kg,143
Carrots,kg,105
Cauliflower,kg,63
Spinach,kg,104
Capsicum,kg,107
Cabbage,kg,70
Cucumber,kg,140
Ginger,kg,40
Garlic,kg,41
Red Chili Powder,kg,87
Turmeric Powder,kg,114
Cumin Seeds,kg,94
Coriander Powder,kg,48
Garam Masala,kg,58
Black Pepper,kg,141
Mustard Seeds,kg,136
Cardamom,kg,69
Cinnamon Sticks,kg,69
Bay Leaves,kg,128
Ginger Garlic Paste,kg,45
Butter,kg,95
Cream,liters,134
Yogurt,liters,138
Milk,liters,92
Cheese Slices,kg,118
Ghee,kg,96
Basmati Rice,kg,44
Wheat Flour,kg,82
Semolina,kg,109
Besan,kg,103
Cooking Oil,liters,128
Mustard Oil,liters,54
Mango Pulp,liters,123
Tea Leaves,kg,87
Coffee Powder,kg,42
Tomato Ketchup,liters,59
Soy Sauce,liters,134
Vinegar,liters,144
Honey,liters,51
Naan Bread,pieces,55
Pav Buns,pieces,143
Bread Loaf,pieces,42
