invoice_id,date,supplier_name,item_name,unit,quantity
INV-1001,2026-08-08,Hyderabad Spice Traders,Star Anise,kg,16
INV-1001,2026-08-08,Hyderabad Spice Traders,Tomato Ketchup,liters,7
INV-1001,2026-08-08,Hyderabad Spice Traders,Turmeric Powder,kg,35
INV-1001,2026-08-08,Hyderabad Spice Traders,Black Pepper,kg,20
INV-1001,2026-08-08,Hyderabad Spice Traders,Butter,kg,9
INV-1001,2026-08-08,Hyderabad Spice Traders,Tomatoes,kg,17
INV-1002,2026-08-04,Metro Packaging Supplies,Cloves,kg,40
INV-1002,2026-08-04,Metro Packaging Supplies,Tomato Ketchup,liters,29
INV-1002,2026-08-04,Metro Packaging Supplies,Prawns,kg,17
INV-1002,2026-08-04,Metro Packaging Supplies,Tofu,kg,26
INV-1002,2026-08-04,Metro Packaging Supplies,Cheese Slices,kg,14
INV-1002,2026-08-04,Metro Packaging Supplies,Ginger Garlic Paste,kg,39
INV-1003,2026-08-07,Golden Grain Wholesalers,Nutmeg,kg,25
INV-1003,2026-08-07,Golden Grain Wholesalers,Cinnamon Sticks,kg,36
INV-1003,2026-08-07,Golden Grain Wholesalers,Cream,liters,29
INV-1003,2026-08-07,Golden Grain Wholesalers,Garam Masala,kg,22
INV-1004,2026-08-01,Deccan Fresh Produce,Condensed Milk,liters,5
INV-1004,2026-08-01,Deccan Fresh Produce,Coffee Powder,kg,36
INV-1004,2026-08-01,Deccan Fresh Produce,Butter,kg,9
INV-1005,2026-08-09,Ravi & Sons General Provisions,Bread Crumbs,kg,44
INV-1005,2026-08-09,Ravi & Sons General Provisions,Spinach,kg,12
INV-1005,2026-08-09,Ravi & Sons General Provisions,Ghee,kg,16
INV-1005,2026-08-09,Ravi & Sons General Provisions,Wheat Flour,kg,15
INV-1005,2026-08-09,Ravi & Sons General Provisions,Red Chili Powder,kg,45
INV-1005,2026-08-09,Ravi & Sons General Provisions,Cheese Slices,kg,27
INV-1006,2026-08-06,Golden Grain Wholesalers,Pizza Base,pieces,9
INV-1006,2026-08-06,Golden Grain Wholesalers,Pickle,kg,16
INV-1006,2026-08-06,Golden Grain Wholesalers,Garlic,kg,32
INV-1006,2026-08-06,Golden Grain Wholesalers,Capsicum,kg,28
INV-1006,2026-08-06,Golden Grain Wholesalers,Paneer,kg,15
